ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,port hardy,50.6996,-127.4199,37.58,93,100,12.66,CA,1669562953
301,buta,2.7858,24.73,77.25,92,99,1.7,CD,1669562955
302,diffa,13.3154,12.6113,84.4,14,94,9.69,NE,1669562956
303,marienburg,54.0359,19.0266,40.89,89,100,4.29,PL,1669562957
304,belyy yar,53.6039,91.3903,-4.11,59,100,6.71,RU,1669562958
305,lamar,33.6668,-95.5836,52.36,86,100,10.36,US,1669562867
306,san luis,-33.295,-66.3356,93.79,17,5,14.56,AR,1669562960
307,richards bay,-28.783,32.0377,70.84,85,100,10.51,ZA,1669562961
308,coihaique,-45.5752,-72.0662,68.61,40,0,4.61,CL,1669562965
309,new iberia,30.0035,-91.8187,66.97,77,0,6.91,US,1669562966
310,marsa matruh,31.3525,27.2453,66.67,55,100,10.33,EG,1669562967
311,santa cruz de la palma,28.6835,-17.7642,75.34,64,20,12.66,ES,1669562969
312,ullapool,57.8987,-5.1604,48.34,76,13,6.69,GB,1669562970
313,mapiripan,2.8892,-72.1256,81.0,76,100,2.44,CO,1669562971
314,zima,53.9202,102.0442,-9.9,82,100,8.77,RU,1669562972
315,alofi,-19.0595,-169.9187,71.49,94,44,3.44,NU,1669562973
316,saint anthony,45.0205,-93.218,33.93,84,0,12.66,US,1669562975
317,mahebourg,-20.4081,57.7,77.29,69,40,4.61,MU,1669562826
318,rio grande,-32.035,-52.0986,84.31,72,0,14.25,BR,1669562976
319,edson,53.5835,-116.4356,30.34,51,100,11.5,CA,1669562978
320,hervey bay,-25.2986,152.8535,76.01,77,99,13.94,AU,1669562979
321,novopskov,49.5464,39.0899,35.6,98,100,7.76,UA,1669562980
322,pucallpa,-8.3791,-74.5539,89.64,55,40,0.0,PE,1669562981
323,la rioja,42.25,-2.5,42.58,45,100,2.06,ES,1669562982
324,benguela,-12.5763,13.4055,80.06,75,98,8.3,AO,1669562983
325,magadan,59.5667,150.8,12.22,93,100,16.35,RU,1669562984
326,vangaindrano,-23.35,47.6,76.77,74,0,11.32,MG,1669562985
327,seoul,37.5683,126.9778,49.44,68,0,2.3,KR,1669562987
328,atikokan,48.7555,-91.6216,28.0,74,23,5.61,CA,1669562989
329,severo-kurilsk,50.6789,156.125,34.16,77,60,24.09,RU,1669562990
330,salalah,17.0151,54.0924,78.89,69,20,3.44,OM,1669562991
331,tomatlan,19.9333,-105.25,73.99,62,12,1.9,MX,1669562992
332,ginir,7.1333,40.7,63.41,53,88,3.4,ET,1669562993
333,moron,-34.6534,-58.6198,90.95,68,0,8.5,AR,1669562994
334,dindori,22.95,81.0833,57.97,49,0,2.64,IN,1669562995
335,gornyak,50.9942,81.4661,-23.62,98,15,3.98,RU,1669562997
336,lazaro cardenas,17.9583,-102.2,77.7,72,7,2.89,MX,1669562998
337,mazyr,52.0495,29.2456,28.81,98,100,6.2,BY,1669562999
338,petropavlovka,50.6114,105.3196,-9.2,66,100,7.16,RU,1669563000
339,the valley,18.217,-63.0578,85.86,74,20,12.66,AI,1669563001
340,mpulungu,-8.7623,31.1141,74.97,71,94,1.01,ZM,1669563002
341,saint-francois,46.4154,3.9054,47.64,81,0,2.3,FR,1669563003
342,kitimat,54.0524,-128.6534,30.9,29,97,2.91,CA,1669563004
343,kupang,-10.1667,123.5833,78.71,83,100,4.79,ID,1669563006
344,talara,-4.5772,-81.2719,74.16,68,40,12.66,PE,1669563007
345,usinsk,65.9939,57.5281,-3.14,99,97,11.25,RU,1669563008
346,gazimurskiy zavod,51.5461,118.3266,-18.53,100,93,1.81,RU,1669563009
347,talnakh,69.4865,88.3972,1.2,98,100,10.6,RU,1669563011
348,meulaboh,4.1363,96.1285,77.81,82,100,1.59,ID,1669563012
349,trelew,-43.249,-65.3051,79.72,32,28,14.63,AR,1669563014
350,broome,42.2506,-75.833,49.68,57,100,9.22,US,1669563015
351,vila velha,-20.3297,-40.2925,78.75,83,75,11.5,BR,1669563016
352,bagotville,-28.9833,153.4167,67.15,89,91,5.44,AU,1669563017
353,silver city,32.7701,-108.2803,42.76,32,0,9.22,US,1669563018
354,tome,-36.6167,-72.95,56.01,69,26,7.07,CL,1669563019
355,promyshlennaya,54.9159,85.6385,-19.25,93,85,3.38,RU,1669563021
356,yakeshi,49.2833,120.7333,-12.78,100,94,2.15,CN,1669563022
357,ramhormoz,31.28,49.6035,73.63,45,20,8.41,IR,1669563023
358,mehamn,71.0357,27.8492,31.95,74,0,20.71,NO,1669563025
359,ishigaki,24.3448,124.1572,77.13,83,75,11.5,JP,1669563026
360,narasannapeta,18.4167,84.05,68.67,63,7,2.82,IN,1669563027
361,bitkine,11.9801,18.2138,86.13,15,98,8.46,TD,1669563029
362,zhigansk,66.7697,123.3711,-29.24,97,100,12.37,RU,1669563030
363,samarai,-10.6167,150.6667,80.94,77,94,3.91,PG,1669563032
364,rincon,32.296,-81.2354,73.9,87,100,13.8,US,1669563033
365,kintampo,8.0563,-1.7306,93.13,21,10,3.04,GH,1669563034
366,kloulklubed,7.0419,134.2556,75.7,77,79,12.86,PW,1669563035
367,codrington,-38.2667,141.9667,43.57,86,14,7.9,AU,1669563036
368,wellin,50.0813,5.1141,50.02,83,100,12.44,BE,1669563038
369,biak,-0.9131,122.8766,76.46,84,95,3.06,ID,1669563039
370,rochegda,62.8,43.25,5.38,97,64,3.27,RU,1669563040
371,shaowu,27.3409,117.4831,61.36,98,97,2.48,CN,1669563041
372,fayaoue,-20.65,166.5333,78.19,81,66,14.38,NC,1669563042
373,ordzhonikidze,52.4411,61.7408,8.06,85,100,10.56,KZ,1669563043
374,chudovo,59.1167,31.6833,23.86,90,100,5.59,RU,1669563044
375,peterhead,57.5058,-1.7981,46.8,80,14,19.62,GB,1669563045
376,anchorage,61.2181,-149.9003,15.85,87,40,4.61,US,1669563046
377,martapura,-3.4167,114.85,78.89,94,93,2.3,ID,1669563048
378,puka,58.0559,26.2436,26.15,96,97,4.68,EE,1669563049
379,panguna,-6.3164,155.4848,68.54,96,93,1.14,PG,1669563050
380,puerto narino,-3.7703,-70.3831,73.96,98,100,3.96,CO,1669563051
381,sretensk,52.2453,117.7093,-12.14,100,97,1.63,RU,1669563052
382,buzmeyin,38.0507,58.2056,53.33,62,75,16.11,TM,1669563053
383,pavlohrad,48.5167,35.8667,41.29,86,100,5.39,UA,1669563054
384,salinopolis,-0.6136,-47.3561,86.47,63,37,12.33,BR,1669563055
385,camacha,33.0833,-16.3333,69.22,56,0,8.05,PT,1669563056
386,moroni,-11.7022,43.2551,82.4,69,40,12.66,KM,1669563058
387,mount isa,-20.7333,139.5,76.77,78,75,6.91,AU,1669563061
388,navirai,-23.065,-54.1906,86.07,44,1,5.14,BR,1669563062
389,taraz,42.9,71.3667,25.21,54,100,4.47,KZ,1669563064
390,marawi,7.9986,124.2928,68.9,96,66,0.74,PH,1669563065
391,batticaloa,7.7102,81.6924,78.62,73,73,6.31,LK,1669563066
392,somerset,40.5668,-74.5496,50.92,74,100,1.99,US,1669563008
393,antofagasta,-23.65,-70.4,67.28,68,43,9.8,CL,1669563068
394,nanortalik,60.1432,-45.2371,29.98,83,62,3.24,GL,1669563070
395,sioux lookout,50.1001,-91.917,26.67,86,75,4.61,CA,1669563072
396,san lawrenz,36.0553,14.204,58.41,90,91,15.99,MT,1669563074
397,nome,64.5011,-165.4064,-0.33,78,0,0.0,US,1669563075
398,yulara,-25.2406,130.9889,74.8,24,82,17.83,AU,1669563076
399,dubbo,-32.25,148.6167,59.13,94,45,4.61,AU,1669563077
400,honiara,-9.4333,159.95,77.0,88,67,2.28,SB,1669563079
401,prince rupert,54.3161,-130.3201,38.89,94,75,5.75,CA,1669563080
402,bac lieu,9.285,105.7244,78.8,84,45,6.49,VN,1669563081
403,nautla,20.2167,-96.7833,72.37,86,98,5.21,MX,1669563082
404,bismarck,46.8083,-100.7837,28.81,83,0,9.22,US,1669563083
405,matara,5.9485,80.5353,77.14,84,81,2.75,LK,1669562786
406,vanavara,60.34,102.2797,-25.38,96,85,6.51,RU,1669563085
407,tres arroyos,-38.3739,-60.2798,81.55,35,100,6.42,AR,1669563086
408,shenzhen,22.5455,114.0683,78.75,96,64,7.02,CN,1669563087
409,redlands,34.0556,-117.1825,58.75,39,20,0.0,US,1669562825
410,dingle,10.9995,122.6711,75.29,86,35,7.63,PH,1669563090
411,buala,-8.145,159.5921,79.39,84,75,4.88,SB,1669563091
412,entre rios,-11.9419,-38.0844,79.75,75,100,3.47,BR,1669563093
413,mizdah,31.4451,12.9801,55.56,82,100,26.49,LY,1669563094
414,yumen,40.2833,97.2,10.78,67,75,19.82,CN,1669563096
415,constitucion,-35.3333,-72.4167,67.77,71,9,8.55,CL,1669563097
416,marsala,37.7966,12.4352,62.55,77,20,12.66,IT,1669562998
417,bikramganj,25.2,84.25,64.49,37,0,2.04,IN,1669563100
418,joshimath,30.5667,79.5667,51.58,28,22,6.53,IN,1669563101
419,myre,69.1036,15.9492,40.33,68,100,17.36,NO,1669563103
420,sangin,32.0728,64.8359,55.98,20,13,2.06,AF,1669563104
421,gautier,30.3858,-88.6117,63.54,63,0,6.91,US,1669563106
422,westport,41.1415,-73.3579,54.32,66,0,8.01,US,1669562981
423,noboribetsu,42.4514,141.1731,37.04,66,36,6.58,JP,1669563109
424,nelson bay,-32.7167,152.15,68.05,96,100,4.0,AU,1669563110
425,mittagong,-34.45,150.45,57.0,98,83,5.75,AU,1669563111
426,banjar,-8.19,114.9675,78.42,91,98,1.68,ID,1669563112
427,kapit,2.0167,112.9333,73.54,99,100,0.67,MY,1669563113
428,houston,29.7633,-95.3633,63.99,77,0,13.8,US,1669562923
429,ondjiva,-17.0667,15.7333,95.04,24,40,5.75,AO,1669563115
430,lubumbashi,-11.6609,27.4794,66.54,90,100,3.02,CD,1669563117
431,bereda,43.2686,-7.5406,51.42,100,100,3.42,ES,1669563118
432,shingu,33.7333,135.9833,52.84,64,100,4.83,JP,1669563119
433,alekseyevsk,57.8406,108.3492,-9.35,98,100,4.97,RU,1669563120
434,botwood,49.1499,-55.3482,37.9,100,100,3.44,CA,1669563121
435,acapulco,16.8634,-99.8901,78.62,78,20,6.91,MX,1669563122
436,husavik,66.0449,-17.3389,36.86,98,100,22.48,IS,1669563123
437,esmeraldas,-19.7625,-44.3139,86.11,43,33,5.14,BR,1669563124
438,alta floresta,-9.8756,-56.0861,84.02,74,75,6.91,BR,1669563125
439,poum,-20.2333,164.0167,78.26,76,54,13.38,NC,1669563126
440,tadine,-21.55,167.8833,75.16,85,89,11.54,NC,1669563128
441,qasigiannguit,68.8193,-51.1922,21.45,83,100,4.34,GL,1669563129
442,hofn,64.2539,-15.2082,42.82,75,100,8.05,IS,1669563130
443,gunjur,13.2019,-16.7339,95.07,26,0,6.91,GM,1669563131
444,camalu,30.85,-116.0667,61.09,54,0,0.16,MX,1669563134
445,labuan,5.2767,115.2417,77.36,94,40,1.14,MY,1669563135
446,bandarbeyla,9.4942,50.8122,79.14,76,22,17.85,SO,1669563136
447,orito,0.6766,-76.8771,86.81,53,100,3.49,CO,1669563137
448,moose factory,51.2585,-80.6094,30.2,86,100,6.91,CA,1669563138
449,ralivka,49.5005,23.2406,33.89,88,100,4.65,UA,1669563139
450,birao,10.2849,22.7882,84.85,20,13,4.76,CF,1669563140
451,high level,58.5169,-117.136,14.11,79,75,17.27,CA,1669563015
452,vestmannaeyjar,63.4427,-20.2734,40.19,75,40,29.93,IS,1669563142
453,san juan,-31.5375,-68.5364,97.48,13,0,14.54,AR,1669563143
454,sokoni,-6.4333,39.55,82.26,79,40,10.78,TZ,1669563144
455,huarmey,-10.0681,-78.1522,70.97,76,76,7.83,PE,1669563145
456,muros,42.7762,-9.0603,58.84,82,79,14.72,ES,1669563008
457,wadi maliz,36.4681,8.5495,60.46,71,89,13.24,TN,1669563148
458,naryan-mar,67.6713,53.087,13.24,91,100,11.86,RU,1669563149
459,yuzhnyy,53.2542,83.6936,-18.02,69,0,2.24,RU,1669563151
460,menongue,-14.6585,17.691,76.01,58,89,5.93,AO,1669563152
461,abu samrah,35.3029,37.1841,54.99,68,100,9.8,SY,1669563153
462,luderitz,-26.6481,15.1594,68.49,68,0,9.57,NA,1669563154
463,cuitareo,19.6167,-100.6,62.73,57,5,3.67,MX,1669563155
464,coahuayana,18.7333,-103.6833,83.12,59,0,0.89,MX,1669563156
465,ostrovnoy,68.0531,39.5131,26.74,80,100,28.23,RU,1669563157
466,garden acres,37.9638,-121.2294,49.28,87,0,3.44,US,1669563158
467,port lincoln,-34.7333,135.8667,54.64,72,51,8.75,AU,1669563072
468,caravelas,-17.7125,-39.2481,77.22,87,100,3.44,BR,1669563159
469,sabha,27.0377,14.4283,60.67,36,1,12.73,LY,1669563160
470,san agustin,20.5333,-103.4667,61.92,55,0,0.0,MX,1669563162
471,grindavik,63.8424,-22.4338,39.15,87,75,21.85,IS,1669563163
472,warman,52.3168,-106.5679,26.51,86,100,6.91,CA,1669563076
473,pakruojis,55.9667,23.8667,29.19,96,86,4.27,LT,1669563165
474,staroutkinsk,57.2302,59.3348,5.41,98,45,2.84,RU,1669563166
475,slave lake,55.2834,-114.769,28.38,64,100,19.57,CA,1669563070
476,orlovskiy,46.8714,42.0592,39.36,88,100,8.46,RU,1669563168
477,kangaatsiaq,68.3065,-53.4641,22.17,80,100,4.88,GL,1669563169
478,faanui,-16.4833,-151.75,78.91,74,57,12.03,PF,1669563171
479,monrovia,6.3005,-10.7969,82.08,69,32,7.99,LR,1669563071
480,talakan,50.3167,130.3667,5.4,97,100,2.06,RU,1669563173
481,kaohsiung,22.6163,120.3133,77.04,82,75,5.75,TW,1669563093
482,kutum,14.2,24.6667,73.56,17,55,3.18,SD,1669563175
483,wynyard,-41.0,145.7167,45.99,78,40,5.64,AU,1669563177
484,kodiak,57.79,-152.4072,29.71,51,0,18.41,US,1669563179
485,santa vitoria do palmar,-33.5189,-53.3681,79.92,60,34,12.15,BR,1669563180
486,lakhdenpokhya,61.5198,30.1992,30.43,89,100,8.05,RU,1669563181
487,tarakan,3.3,117.6333,80.85,79,94,9.57,ID,1669563125
488,newport,51.5877,-2.9984,52.68,84,100,10.4,GB,1669563183
489,faya,18.3851,42.4509,62.71,54,51,3.33,SA,1669563184
490,neiafu,-18.65,-173.9833,77.68,94,20,2.3,TO,1669563185
491,bandar-e anzali,37.4727,49.4622,55.51,78,0,4.38,IR,1669563186
492,saint-augustin,51.226,-58.6502,34.52,100,100,2.42,CA,1669563189
493,longhua,23.6137,114.1919,71.64,95,100,2.28,CN,1669563190
494,ayni,39.3941,68.5377,36.84,66,24,7.83,TJ,1669563191
495,hasaki,35.7333,140.8333,46.8,54,46,6.44,JP,1669563192
496,arroyo,41.6096,-4.7969,52.14,70,75,12.66,ES,1669563193
497,popondetta,-8.7537,148.2534,72.0,97,100,5.99,PG,1669563195
498,tiarei,-17.5333,-149.3333,73.42,74,24,12.12,PF,1669563196
499,griffith,41.5284,-87.4237,43.29,90,100,13.8,US,1669563098
500,ugra,54.7777,34.3267,30.54,97,100,8.46,RU,1669563197
501,narsaq,60.9167,-46.05,32.22,94,90,3.78,GL,1669563198
502,nantucket,41.2835,-70.0995,59.11,63,0,14.97,US,1669563200
503,alberton,46.8168,-64.0654,39.11,79,8,12.71,CA,1669563069
504,les cayes,18.2,-73.75,85.53,59,1,5.5,HT,1669563202
505,panama city,8.9936,-79.5197,84.15,76,40,3.44,PA,1669563106
506,piney green,34.716,-77.3202,69.98,89,100,16.11,US,1669563104
507,guhagar,17.4842,73.1929,76.44,81,1,5.88,IN,1669563205
508,mokhsogollokh,61.4681,128.9203,-42.92,99,59,3.38,RU,1669563147
509,novobirilyussy,56.9514,90.6661,-9.31,92,100,7.83,RU,1669563208
510,farafangana,-22.8167,47.8333,75.94,79,0,13.51,MG,1669563209
511,fukue,32.6881,128.8419,67.03,72,100,9.71,JP,1669563211
512,muli,2.9167,73.5667,81.01,72,87,3.4,MV,1669563212
513,yuzhno-kurilsk,44.0306,145.8556,36.77,64,100,10.65,RU,1669563213
514,krutaya gorka,55.3649,73.2231,-9.33,97,5,3.8,RU,1669563214
515,mahibadhoo,3.7833,72.9667,81.3,68,59,3.02,MV,1669563215
516,kabo,7.6994,18.629,88.48,22,7,2.33,CF,1669563216
517,tsevie,6.4261,1.2133,87.12,55,47,10.92,TG,1669563219
518,tucurui,-3.7661,-49.6725,91.85,48,87,2.8,BR,1669563221
519,grand gaube,-20.0064,57.6608,77.4,66,4,5.01,MU,1669563222
520,finschhafen,-6.6024,147.8681,80.83,82,100,11.3,PG,1669563224
521,balkhash,46.844,74.9804,7.32,64,0,22.91,KZ,1669563225
522,port dover,42.7834,-80.1997,44.6,91,100,6.85,CA,1669563226
523,bozuyuk,39.9078,30.0367,44.89,77,99,2.84,TR,1669563227
524,axim,4.8699,-2.2405,81.91,73,34,8.7,GH,1669563228
525,damienesti,46.7333,26.9833,40.95,84,100,4.83,RO,1669563229
526,serebryansk,49.6925,83.2892,-28.32,95,34,1.59,KZ,1669563230
527,vostok,46.4856,135.8833,5.14,97,80,4.0,RU,1669563231
528,hirara,24.8,125.2833,77.83,74,66,18.66,JP,1669563232
529,sakaiminato,35.55,133.2333,48.18,93,75,2.3,JP,1669563233
530,la tuque,47.4334,-72.7824,30.45,80,87,1.14,CA,1669563235
531,roald,62.5833,6.1333,53.74,58,75,10.36,NO,1669563236
532,mbanza-ngungu,-5.25,14.8667,71.19,91,97,5.59,CD,1669563237
533,eyl,7.9803,49.8164,79.36,76,27,16.13,SO,1669563239
534,vila franca do campo,37.7167,-25.4333,66.2,63,76,8.43,PT,1669563241
535,ereymentau,51.6199,73.1033,-16.08,92,5,8.08,KZ,1669563243
536,vidim,56.4088,103.1106,-15.29,90,100,5.91,RU,1669563244
537,mersing,2.4312,103.8405,78.71,89,40,5.75,MY,1669563246
538,bell ville,-32.6259,-62.6887,96.8,14,0,10.27,AR,1669563247
539,raga,8.4596,25.678,84.42,23,100,3.85,SS,1669563248
540,puerto del rosario,28.5004,-13.8627,74.95,78,20,18.41,ES,1669563154
541,lingao,19.9103,109.6859,76.3,86,0,7.85,CN,1669563251
542,nhulunbuy,-12.2333,136.7667,83.01,78,40,5.75,AU,1669563252
543,jablah,35.3614,35.9256,61.09,59,75,4.61,SY,1669563253
544,cardston,49.2,-113.3019,33.89,60,46,14.97,CA,1669563254
545,boguchany,58.3814,97.4531,-18.65,98,90,4.79,RU,1669563258
546,trinidad,-14.8333,-64.9,91.38,58,39,0.0,BO,1669563259
547,bundaberg,-24.85,152.35,76.21,85,97,3.0,AU,1669563260
548,sinjar,36.3209,41.8754,56.1,66,100,4.83,IQ,1669563261
549,san quintin,30.4833,-115.95,61.48,63,0,2.1,MX,1669563262
550,san andres,12.5847,-81.7006,78.82,94,40,4.61,CO,1669563116
551,xinye,32.5186,112.3522,55.08,83,100,7.65,CN,1669563266
552,lavrentiya,65.5833,-171.0,13.32,95,93,6.8,RU,1669563268
553,charters towers,-20.1,146.2667,71.37,91,100,8.61,AU,1669563269
554,ternate,0.8,127.4,80.82,79,26,5.55,ID,1669563270
555,beira,-19.8436,34.8389,82.49,69,75,14.97,MZ,1669563271
556,wangaratta,-36.3667,146.3333,54.3,85,39,3.36,AU,1669563272
557,hazorasp,41.3194,61.0742,39.04,38,2,12.37,UZ,1669563273
558,mendi,-6.1761,143.6513,54.21,96,99,3.67,PG,1669563274
559,toropets,56.4978,31.6353,29.19,94,100,8.01,RU,1669563275
560,brae,60.3964,-1.353,49.23,76,3,18.5,GB,1669563276
561,pitimbu,-7.4706,-34.8086,86.59,68,51,12.26,BR,1669563278
562,kieta,-6.2167,155.6333,79.29,84,92,4.74,PG,1669563280
563,brejo,-3.6844,-42.7503,89.55,46,100,5.1,BR,1669563282
564,kalur kot,32.1564,71.2594,69.33,20,0,2.15,PK,1669563283
565,karpathos,35.507,27.2132,62.56,63,40,6.91,GR,1669563284
566,roma,43.2128,-75.4557,50.09,64,0,5.75,US,1669563244
567,galle,6.0367,80.217,78.66,77,97,1.95,LK,1669563286
568,tokur,53.1333,132.9,-8.45,100,99,1.45,RU,1669563287
569,chivilcoy,-34.8957,-60.0167,97.57,21,0,8.39,AR,1669563288
570,knysna,-34.0363,23.0471,68.09,70,20,11.83,ZA,1669563289
571,bambanglipuro,-7.95,110.2833,74.8,96,100,1.23,ID,1669563291
572,bilma,18.6853,12.9164,77.65,23,99,6.73,NE,1669563292
573,altamira,-3.2033,-52.2064,87.89,66,40,6.91,BR,1669563293
574,iracoubo,5.4802,-53.2011,81.36,79,99,12.33,GF,1669563294
575,sukhumi,43.0033,41.0153,53.65,88,98,1.79,GE,1669563295
576,cap-aux-meules,47.3821,-61.8597,39.25,81,40,11.5,CA,1669563066
577,mugla,37.2303,28.3557,46.58,65,100,2.15,TR,1669563297
578,gizo,-8.103,156.8419,82.38,76,54,8.12,SB,1669563298
579,zhigalovo,54.8097,105.1578,-12.28,90,100,4.45,RU,1669563299
580,mananjary,-21.2167,48.3333,76.03,74,0,11.5,MG,1669563300
581,angoche,-16.2325,39.9086,80.1,74,29,16.26,MZ,1669563302
582,thinadhoo,0.5333,72.9333,81.18,75,100,5.7,MV,1669563303
583,lima,-12.0432,-77.0282,68.25,78,100,8.05,PE,1669563304
584,mount gambier,-37.8333,140.7667,47.23,80,55,4.88,AU,1669563173
585,udachnyy,66.4167,112.4,-11.56,75,100,6.22,RU,1669563281
586,mubende,0.5606,31.39,63.03,97,100,0.49,UG,1669563307
587,isla vista,34.4133,-119.861,60.82,77,0,0.0,US,1669563150
588,ussel,45.55,2.3167,44.67,54,100,1.61,FR,1669563309
589,terrace,54.5163,-128.6035,30.11,93,100,3.44,CA,1669563310
590,lazarev,52.225,141.5131,2.77,87,5,6.91,RU,1669563311
591,lae,-6.7221,146.9847,77.31,81,100,5.97,PG,1669563312
592,kurilsk,45.2333,147.8833,35.13,61,96,16.8,RU,1669563314
593,talmenka,53.8183,83.5677,-17.63,95,21,2.55,RU,1669563315
594,agartala,23.8364,91.275,66.76,65,0,2.59,IN,1669563318
595,balsas,-7.5325,-46.0356,89.35,49,64,2.86,BR,1669563283
596,hurghada,27.2574,33.8129,73.44,43,0,2.3,EG,1669563248
597,kinablangan,7.6947,126.5503,77.86,86,55,7.56,PH,1669563321
598,sistranda,63.7256,8.834,48.16,69,92,7.11,NO,1669563322
599,duki,30.1541,68.5728,59.72,16,0,3.87,PK,1669563323
600,general roca,-39.0333,-67.5833,88.63,55,0,11.34,AR,1669563324
